,0,1,2,3
Dataset,LS train-clean-100,LS dev-clean,LS test-clean,CommonVoice
Size (h),100.5908796527778,5.387811319444445,5.403466840277778,5.1957666666666675
Utterances,28539,2703,2620,4360
Unique Utts.,28537,2702,2619,600
Avg. Duration (s),12.688852684046395,7.175775342212353,7.424610925572522,4.2900825688073345
Tokens,990101,54402,52576,38697
Types,33798,8333,8138,2340
TTR,0.03413591138681811,0.15317451564280726,0.1547854534388314,0.0604698038607644
Speakers,251,40,40,2958
Utts. / Spkrs.,113.7011952191235,67.575,65.5,1.473968897903989
m/f Ratio,0.9898898340538279,0.9672489082969432,0.8862491000719942,4.026694045174538
